meter_id,date,daily_energy_wh
1130211_FD1_L1_EDMI_1_D,2014-05-05,9091
1130211_FD1_L1_EDMI_1_D,2014-05-06,10514
1130211_FD1_L1_EDMI_1_D,2014-05-07,8701
1130211_FD1_L1_EDMI_1_D,2014-05-08,10236
1130211_FD1_L1_EDMI_1_D,2014-05-09,6404
1130211_FD1_L1_EDMI_1_D,2014-05-10,5802
1130211_FD1_L1_EDMI_1_D,2014-05-11,14184
1130211_FD1_L1_EDMI_1_D,2014-05-12,7157
1130211_FD1_L1_EDMI_1_D,2014-05-13,4553
1130211_FD1_L1_EDMI_1_D,2014-05-14,4270
1130211_FD1_L1_EDMI_1_D,2014-05-15,5261
1130211_FD1_L1_EDMI_1_D,2014-05-16,7516
1130211_FD1_L1_EDMI_1_D,2014-05-17,7430
1130211_FD1_L1_EDMI_1_D,2014-05-18,6624
1130211_FD1_L1_EDMI_1_D,2014-05-19,7236
1130211_FD1_L1_EDMI_1_D,2014-05-20,7648
1130211_FD1_L1_EDMI_1_D,2014-05-21,8197
1130211_FD1_L1_EDMI_1_D,2014-05-22,5664
1130211_FD1_L1_EDMI_1_D,2014-05-23,8119
1130211_FD1_L1_EDMI_1_D,2014-05-24,11707
1130211_FD1_L1_EDMI_1_D,2014-05-25,6951
1130211_FD1_L1_EDMI_1_D,2014-05-26,11387
1130211_FD1_L1_EDMI_1_D,2014-05-27,8164
1130211_FD1_L1_EDMI_1_D,2014-05-28,12590
1130211_FD1_L1_EDMI_1_D,2014-05-29,10488
1130211_FD1_L1_EDMI_1_D,2014-05-30,5195
1130211_FD1_L1_EDMI_1_D,2014-05-31,7697
1130211_FD1_L1_EDMI_1_D,2014-06-01,5512
1130211_FD1_L1_EDMI_1_D,2014-06-02,4572
1130211_FD1_L1_EDMI_1_D,2014-06-03,8652
